,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
262,baytar_35,,480,20,401,2021-01-01 20:20:28,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
263,kockaan01,,273,274,20739,2021-01-01 20:20:00,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
264,gemikazanigibi,,51,51,1176,2021-01-01 20:18:41,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
265,zumreergun,"İzmir, Türkiye",97,120,1903,2021-01-01 20:18:06,0,bi reklam ancak bu kadar güzel olabilirdi gülüşü güzel adam 
266,yadabosver0,,101,50,626,2021-01-01 20:14:59,0,bu ne güzel reklam 
267,soseidon,Egzosfer,25,84,10840,2021-01-01 20:13:50,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
268,dilarakhrmn,,350,367,14122,2021-01-01 20:13:35,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
269,sanlifatih,,3,65,20,2021-01-01 20:09:30,0,izlediğim en güzel reklamlardan bir tanesi
270,zelalgktas_,,135,152,138,2021-01-01 20:06:55,0,öyle gerçek ki sen güldün hepimiz güldük kemal abi 
271,KaraagacCeyda,Fenerbahçe,314,5937,59036,2021-01-01 20:06:50,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
272,suleymanturell,"Nice, France",137,141,2159,2021-01-01 20:04:25,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
273,Faykut3,,253,17,540,2021-01-01 19:59:23,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
274,anthony_burgees,,87,20,481,2021-01-01 19:58:50,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
275,iremkevser44,,155,369,2102,2021-01-01 19:58:47,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
276,cGhSn1905,,276,456,16499,2021-01-01 19:54:46,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
277,johnwickadamim,türkiye,201,46,521,2021-01-01 19:51:58,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
278,ha7_61,,67,66,9325,2021-01-01 19:50:56,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
279,KubilayKrgcl,,590,186,16645,2021-01-01 19:50:26,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
280,aurovertino,,2895,262,1465,2021-01-01 19:46:55,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
281,krdg52,Türkiye/Ordu,428,508,14575,2021-01-01 19:46:43,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
282,ocvcn,"Balçova, İzmir",728,456,2535,2021-01-01 19:46:40,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
283,NikoDawsonn,,42,198,1066,2021-01-01 19:46:39,32,çok özledik be kemal abi
284,BeyazSalincak,Turkey,176,192,12430,2021-01-01 19:46:31,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
285,ybilecen0,Çok Şükür,276,93,1860,2021-01-01 19:46:10,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
286,nomadioX,🌚,775,1143,24039,2021-01-01 19:45:07,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
287,fatih_ads1,,634,361,1407,2021-01-01 19:44:05,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
288,paypaydapayam,Cehennemin sahibiysem demek ki,2547,2566,12289,2021-01-01 19:42:54,0,aaah be kemal sunal gibi adam geçti bu ülkeden
289,MitOdaci,"Bursa,Erzurum",689,803,21666,2021-01-01 19:41:17,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
290,asokeyfi,Rize / Eskişehir,825,1890,23606,2021-01-01 19:39:39,1,harika duygu yüklü bi reklam gözlerim doldu
291,otuzbesgol,"Beşiktaş, İstanbul",359,123,883,2021-01-01 19:39:33,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
292,kolonyalari,,175,8,699,2021-01-01 19:38:45,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
293,berkayguneel,Ankara,364,350,1374,2021-01-01 19:32:33,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
294,murateren_35,"Konak, İzmir",56,79,120,2021-01-01 19:28:48,0,varsınız
295,Avsarbeyi93,"Muğla, Türkiye",961,486,8295,2021-01-01 19:28:39,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
296,doriscrockfordd,01,74,151,1596,2021-01-01 19:19:45,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
297,sefarslan28,"Şile, Türkiye",444,218,5952,2021-01-01 19:14:59,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
298,muhammedyavas17,"Çan, Türkiye",631,755,4013,2021-01-01 19:13:29,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
299,polatdugan,İzmir,142,1075,1726,2021-01-01 19:11:11,0,i lkokuldayken filmlerini kesinlikle izlememizi istemeyen bir öğretmenimiz vardı i zleyen olursa sözlüsünüde düşük veriyordu i spiyoncu arkadaşlarımızda vardı tabi ben izlerdim ama kimseye söylemezdim şimdi ne kadar doğru karar vermişim anlıyorum 
300,saglam_yilmaz,,60,24,263,2021-01-01 19:11:09,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
301,seenneslihan,,311,125,703,2021-01-01 19:11:04,0,bu akşam üzeri ziraat bankasının reklamına denk gelince ne tuhaf olduk ne güzel olmuş gözlerimiz doldu
302,kuroyff,,762,30,97,2021-01-01 19:10:58,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
303,iremm77,ESENKÖY İstanbul,486,889,29384,2021-01-01 19:08:10,0,ziraat bankası reklamı çok güzel olmamış mı kemal abi 
304,dnzsvs34,Türkiye,629,123,1776,2021-01-01 19:07:47,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
305,tweetinghuma,A🤍,475,940,3702,2021-01-01 19:07:15,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
306,berko890,Türkiye / Antalya,86,68,5720,2021-01-01 19:05:32,32,çok özledik be kemal abi
307,PektasTansu,,147,33,194,2021-01-01 19:04:19,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
308,metrosairi,Öğretmen,1338,1007,182,2021-01-01 18:53:45,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
309,SiyahBeyazFaNi,,2335,2520,46197,2021-01-01 18:38:35,2,gülmek en çok sana yakışıyordu güzel adam
310,mrtkdnz90,,28,17,12,2021-01-01 18:27:07,32,çok özledik be kemal abi
311,Omer__Bjk1903,"İstanbul, Türkiye",1096,1375,5996,2021-01-01 18:25:32,2,gülmek en çok sana yakışıyordu güzel adam
312,arffclk,"İstanbul, Türkiye",464,407,8485,2021-01-01 18:07:25,32,çok özledik be kemal abi
313,tayfur_alperen,,185,135,1706,2021-01-01 17:59:00,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
314,ozlem19053,,274,245,1477,2021-01-01 17:58:17,1,güzel bir reklam olmuş seninle gülmeyi özlemişiz 
315,necatis93,"Çanakkale, Türkiye",201,30,722,2021-01-01 17:58:08,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
316,firatgun717,,68,51,506,2021-01-01 17:55:51,32,çok özledik be kemal abi
317,ilribik,Mardin,138,56,102,2021-01-01 17:48:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
318,m_turhan78,,3639,3691,49478,2021-01-01 17:47:04,2,muhteşem olmuş rahmetli büyük ustad kemal sunal ı unutturmadığınız için teşekkürler
319,mebayram,İstanbul,490,134,733,2021-01-01 17:46:36,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
320,17HUK,"Sakarya, Türkiye",508,895,6733,2021-01-01 17:45:55,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
321,ynsemreksz,Samsun/İstanbul/TÜRKİYE ,1055,1046,8751,2021-01-01 17:45:07,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
322,ibrahimmglmz,,69,46,115,2021-01-01 17:40:44,0,reklam gibi reklam 
323,YukselPresents,San Francisco - İstanbul ,4883,4730,451,2021-01-01 17:40:03,2,muhteşem olmuş rahmetli büyük ustad kemal sunal ı unutturmadığınız için teşekkürler
324,ruhsaltarti,,325,331,169,2021-01-01 17:39:16,0,ziraat bankasının kemal sunal lı reklamı iç ısıtıyor 
325,cengocapkin,Tekirdağ / Çorlu,192,20,505,2021-01-01 17:37:09,32,çok özledik be kemal abi
326,zlem75145019,"Samsun, Türkiye",48,22,34,2021-01-01 17:35:53,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
327,BurakKaynar,"İstanbul,Turkey ",598,353,21621,2021-01-01 17:35:51,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
328,gorkemklc,,28,21,353,2021-01-01 17:34:48,32,çok özledik be kemal abi
329,yumitsimsir,,125,35,5295,2021-01-01 17:30:23,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
330,1kisiicin,Turkey,315,320,14984,2021-01-01 17:23:55,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
331,MNYS878116,,1131,103,2357,2021-01-01 17:18:49,32,çok özledik be kemal abi
332,mustafasahinn6,"Sakarya, Türkiye",238,163,1475,2021-01-01 17:15:56,0,çok güzel bir fikir umarım devamı gelir 
333,kilic1980_kl,"İstanbul, Türkiye",114,49,1101,2021-01-01 17:12:58,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
334,sjenicahamzic,"Sjenica, Srbija",918,500,9340,2021-01-01 17:08:48,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
335,FBsenol1907,,223,31,439,2021-01-01 17:07:33,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
336,Alican16444518,,329,300,3447,2021-01-01 17:06:15,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
337,MaviMasal95,,154,326,26025,2021-01-01 17:02:35,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
338,koraybeydiyin,,2385,128,1491,2021-01-01 16:59:27,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
339,sudde36,01,197,71,119,2021-01-01 16:59:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
340,haticeekraca,,1834,1993,1425,2021-01-01 16:55:49,0,gerçekten çok güzel olmuş
341,f_e_r_h_a_t_g_s,,824,650,2563,2021-01-01 16:53:27,0,yeni reklamı çok güzel olmuş 
342,guvenock,Sivs-Samsn-Ank-Amasya-Ank-Rize,337,188,61935,2021-01-01 16:53:25,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
343,sabrigs180818,"Heilbronn, Deutschland",156,9,288,2021-01-01 16:53:14,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
344,alphandogualp,"İstanbul, Türkiye",394,404,23121,2021-01-01 16:52:44,32,çok özledik be kemal abi
345,tufan_celebi,,558,251,15850,2021-01-01 16:51:56,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
346,gseness97,Boşluk,1543,1542,2753,2021-01-01 16:51:56,0,ziraat bankasının kemal sunal ı gösterdiği reklamı tüylerim diken diken izledim 
347,yigitttalbayrak,Bursa,357,473,7679,2021-01-01 16:51:29,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
348,cekirdeksizavo,,769,664,9209,2021-01-01 16:51:15,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
349,muhammetkink1,Aydın,361,81,276,2021-01-01 16:50:55,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
350,ozlemcimbom1905,"Rize, Türkiye",2080,2316,7294,2021-01-01 16:49:48,1,güzel bir reklam olmuş seninle gülmeyi özlemişiz 
351,arand_rukiye,Türkiye,791,114,3869,2021-01-01 16:46:59,0,yapay zeka ile kemal sunal ı ziraat bankası reklamında görmek çok güzel teşekkürler 
352,nessli96,"Bursa, Türkiye",384,393,265,2021-01-01 16:46:57,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
353,BrhnSlkn,"Konak, İzmir",457,61,6063,2021-01-01 16:46:10,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
354,ttomriss81,,386,208,2390,2021-01-01 16:46:01,0,ziraat bankası çok güzel reklam yapmış canım kemal sunal
355,yucelhallac,,33,5,14,2021-01-01 16:45:01,0,bir kemal sunal hayranı olarak sırf reklamı izlemek için youtube a girdim özlemişiz kemal abiyi yıl reklamınızda çok başarılı başarılarınız devamını dilerim 
356,ksknsdt,Germany-Essen,669,531,9393,2021-01-01 16:44:38,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
357,z_neyne,,460,246,2202,2021-01-01 16:43:07,0,ziraat bankasının kemal sunallı reklamı harika olmuş 
358,yucelhallac,,33,5,14,2021-01-01 16:41:59,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
359,umtakpnar,,769,95,4424,2021-01-01 16:40:21,32,çok özledik be kemal abi
360,mskzmtk,"Kütahya, Türkiye",474,77,3514,2021-01-01 16:40:09,32,çok özledik be kemal abi
361,unalonerr,"Isparta, Alanya",275,166,3998,2021-01-01 16:37:37,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
362,o1turkmen,uzay,78,42,24788,2021-01-01 16:37:21,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
363,AtakanColak2,,97,42,1121,2021-01-01 16:37:13,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
364,kscabeko,"İstanbul, Türkiye",434,138,6022,2021-01-01 16:37:04,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
365,RamazanAay,,173,113,397,2021-01-01 16:37:02,0,belkide gülmenin en çok yakıştığı insanlardandın
366,Mutlu1Besiktas,,76,97,6422,2021-01-01 16:36:57,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
367,bthnzby07,17,329,178,9864,2021-01-01 16:36:55,32,çok özledik be kemal abi
368,meethaann,,379,120,400,2021-01-01 16:35:25,32,çok özledik be kemal abi
369,Alexinsolayak10,Fenerbahçe/Kadıköy/İstanbul,1494,2038,111922,2021-01-01 16:35:20,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
370,oz_rubar,"İstanbul, Türkiye",428,300,790,2021-01-01 16:34:56,32,çok özledik be kemal abi
371,MURATDO88589806,,2,1,13,2021-01-01 16:34:50,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
372,nihatcoskunn,"İstanbul, Türkiye",275,317,1927,2021-01-01 16:33:43,0,çok başarılı bir reklam olmuş 
373,AVkenrosenberg,"Vice, Peru",2,59,39,2021-01-01 16:33:34,0,çok harika bir iş çıkarmışsınız yüzümüzü güldürdünüz tebrikler
374,MuhammetKuz,Zonguldak,1172,148,3535,2021-01-01 16:32:38,32,çok özledik be kemal abi
375,FMHikayeleri,✉️ iletisim@fmhikayeleri.com,92,45942,7238,2021-01-01 16:30:52,32,çok özledik be kemal abi
376,3KASIM2017,"Galatasaray, Türkiye",205,26,202,2021-01-01 16:29:17,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
377,MMasattas,"Hatay, Türkiye",136,103,158,2021-01-01 16:27:51,0,çok güzel olmuş gerçekten ellerinize sağlık 
378,Okaanvrl,"Trabzon, Türkiye",299,276,1021,2021-01-01 16:21:06,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
379,enes_firat,,307,140,2897,2021-01-01 16:18:31,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
380,Polatcann17,,692,771,558,2021-01-01 16:18:14,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
381,MuhammetTilki,,677,304,33811,2021-01-01 16:10:02,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
382,magnisuleymn,Ankara,185,455,4034,2021-01-01 16:06:58,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
383,Ricercatore_,,327,269,724,2021-01-01 16:05:08,0,ziraat bankası da reklam olmuş kemal sunal ı saygı ve minnetle anıyorum kemal abi gülüşün unutulmuyor duygulandırdı 
384,cabuoglu91,düzce,201,100,558,2021-01-01 16:04:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
385,eliffuncu,instagram:elif.uncu,406,200,3440,2021-01-01 15:59:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
386,kbraalaca8,,81,14,62,2021-01-01 15:59:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
387,_RamazanAslan,"Batman Merkez, Batman",1466,1519,152,2021-01-01 15:52:08,0, ve sen öyle güzel gülüyorsun ki kemal abi gülüşün unutulmuyor sen ne muazzam bir reklamsın öyle 
388,sametcplk,,3940,3321,85593,2021-01-01 15:51:16,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
389,morg1047,Düzce,417,1776,4295,2021-01-01 15:47:15,0,ziraat bankasının kemal sunal reklamı boğazlar düğüm düğüm 
